Peer closed connection.
Connecting to 127.0.0.1:7497 clientId=80 ...
Subscribing to 7 scanner(s) in parallel: TOP_PERC_GAIN, TOP_OPEN_PERC_GAIN, HOT_BY_VOLUME, TOP_STOCK_BUY_IMBALANCE_ADV_RATIO, TOP_VOLUME_RATE, HOT_BY_OPT_VOLUME, HALTED
Observing until 15:58 ET — Ctrl-C to stop early.
[13:15:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,CCL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:15:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,SQQQ | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:16:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,NOWL,SQQQ | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:16:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,AKAM,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:17:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·MWC,AKAM,PLUG | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:17:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·MWC,NOK,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:18:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·MWC,NOK,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:18:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·MWC,NOK,NVD | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:19:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·INFY,MWC,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:19:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·INFY,MWC,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
